user	topic	link	utterance	category
sane	education	https://www.zeit.de/digital/2021-01/digitalpakt-schule-fernunterricht-homeschooling-tablets-foederalismus-digitale-bildung/seite-2	Sicher gibt es den einen oder anderen Schulleiter aus unserer Generation, aber da wird man dann auch häufig überdurchschnittlich aufgestellt sein.	concession
Illoran	education	https://www.zeit.de/digital/2021-01/digitalpakt-schule-fernunterricht-homeschooling-tablets-foederalismus-digitale-bildung/seite-2	Es gibt definitiv Rückschritte in der Digitalisierung	concession
Hubert Schmitz	health	https://www.faz.net/aktuell/wirtschaft/ideen-durch-corona-der-maskenhalter-aus-dem-friseursalon-17152553.html?utm_source=pocket-newtab-global-de-DE	Vollbärte hingegen dürften auf jeden Fall ein Problem darstellen	concession
hubert schmitz	health	https://www.faz.net/aktuell/wirtschaft/ideen-durch-corona-der-maskenhalter-aus-dem-friseursalon-17152553.html?utm_source=pocket-newtab-global-de-DE	OK, das wäre zu erproben, ob es so gemeint war.	concession
Rebecca Keyser	health	https://www.faz.net/aktuell/wirtschaft/ideen-durch-corona-der-maskenhalter-aus-dem-friseursalon-17152553.html?utm_source=pocket-newtab-global-de-DE	Aber schön, dass aus der Krise heraus auch Neues entsteht	concession
Rebecca Keyser	health	https://www.faz.net/aktuell/wirtschaft/ideen-durch-corona-der-maskenhalter-aus-dem-friseursalon-17152553.html?utm_source=pocket-newtab-global-de-DE	Im schlimmsten Falle umfunktionieren zum Kopfhörer.	concession
Jörg T Emrich	health	https://www.faz.net/aktuell/wirtschaft/ideen-durch-corona-der-maskenhalter-aus-dem-friseursalon-17152553.html?utm_source=pocket-newtab-global-de-DE	Macht einen plausiblen Eindruck	concession
Jörg T Emrich	health	https://www.faz.net/aktuell/wirtschaft/ideen-durch-corona-der-maskenhalter-aus-dem-friseursalon-17152553.html?utm_source=pocket-newtab-global-de-DE	Ich sehe nicht, dass durch diese Vorrichtung die Maske weniger gut sitzen sollte als wenn sie um die Ohren geschleift wird.	concession
Jörg T Emrich	health	https://www.faz.net/aktuell/wirtschaft/ideen-durch-corona-der-maskenhalter-aus-dem-friseursalon-17152553.html?utm_source=pocket-newtab-global-de-DE	Natürlich müssen die Gummis entsprechend verkürzt werden, wie im Video oder durch einen Knoten im Gummi.	concession
Jörg T Emrich	health	https://www.faz.net/aktuell/wirtschaft/ideen-durch-corona-der-maskenhalter-aus-dem-friseursalon-17152553.html?utm_source=pocket-newtab-global-de-DE	Aber beim Haareschneiden ist dies eine pragmatische Lösung für die Arbeitserleichterung.	concession
Jörg T Emrich	health	https://www.faz.net/aktuell/wirtschaft/ideen-durch-corona-der-maskenhalter-aus-dem-friseursalon-17152553.html?utm_source=pocket-newtab-global-de-DE	Einzig beim Einkürzen langer Koteletten sehe ich auch damit Probleme.	concession
