user	topic	link	utterance	category
Jerry Mastriano	politics	https://www.facebook.com/search/top?q=neil%20young%20-%20reprise%20records	extortion is NEVER something to promote	dissent
Jerry Mastriano	politics	https://www.facebook.com/search/top?q=neil%20young%20-%20reprise%20records	"Young is not being""heroic"" with this scheme."	dissent
Linda Ann Elizabeth	politics	https://www.facebook.com/search/top?q=neil%20young%20-%20reprise%20records	you are the real deal	praise
Susan Murren Azad	politics	https://www.facebook.com/search/top?q=neil%20young%20-%20reprise%20records	It is being a bully	insinuation
Susan Murren Azad	politics	https://www.facebook.com/search/top?q=neil%20young%20-%20reprise%20records	Frankly I don't think my h of his music so I won't miss it	concession
Catherine Metzger	politics	https://www.facebook.com/search/top?q=neil%20young%20-%20reprise%20records	You are living and making music with the hand of god on your head and in your heart	praise
Kevin Shipman	politics	https://www.facebook.com/search/top?q=neil%20young%20-%20reprise%20records	I am sick of all the fake info	dissent
Mario Isreal Vargas	politics	https://www.facebook.com/search/top?q=neil%20young%20-%20reprise%20records	What sell out Neil Young is doing is promoting censorship and it's a cringe liberal move that will silence the left as well.	insinuation
Bobby Byford	politics	https://www.facebook.com/search/top?q=neil%20young%20-%20reprise%20records	I never supported Spotify because their ceo has made billions ripping off musicians	dissent
Bobby Byford	politics	https://www.facebook.com/search/top?q=neil%20young%20-%20reprise%20records	Everyone still using Spotify in 2022 is a bootlicker as far as I’m concerned	insinuation
Mike Wolfinbarger	politics	https://www.facebook.com/search/top?q=neil%20young%20-%20reprise%20records	a company that has a horrible and lengthy record of violating worker’s rights	lecture
Mike Wolfinbarger	politics	https://www.facebook.com/search/top?q=neil%20young%20-%20reprise%20records	Another company that has a pretty bad record of workers rights.	lecture
Vicky Jones	politics	https://www.facebook.com/search/top?q=neil%20young%20-%20reprise%20records	Ok, so, you QAnon people seem to be confused over terminology so let’s review, shall we? 	insinuation
Lisa Gibbs Nelson	politics	https://www.facebook.com/search/top?q=neil%20young%20-%20reprise%20records	Shitty social issues advocate.	dissent
Lisa Gibbs Nelson	politics	https://www.facebook.com/search/top?q=neil%20young%20-%20reprise%20records	Stay in your lane	lecture
Luke David	music	https://twitter.com/lukewarmdavid/status/1493910604603883522	This shit's so cool!	praise
Luke David	music	https://twitter.com/lukewarmdavid/status/1493910604603883522	"Holy shit Tinashe really recreated ""The Texas Chainsaw Massacre"" in her new music video"	concession
Luke David	music	https://twitter.com/lukewarmdavid/status/1493910604603883522	and no one's talking about it wtff come on guys	dissent
Randy	music	https://twitter.com/lukewarmdavid/status/1493910604603883522	It honestly was very deranged and off puting.	dissent
Randy	music	https://twitter.com/lukewarmdavid/status/1493910604603883522	Because outside of the song and chogreaphy being good it was very evil.	concession
wussbrackin	music	https://twitter.com/lukewarmdavid/status/1493910604603883522	Nah but she made it weird	insinuation
DINGUS KHAN	music	https://twitter.com/lukewarmdavid/status/1493910604603883522	you sound like my grandmother	insinuation
MOONSHINE EP OUT NOW	music	https://twitter.com/lukewarmdavid/status/1493910604603883522	Get over it	lecture
"Xaviera ""Beto's Pretend Sister"" Barganski"	music	https://twitter.com/lukewarmdavid/status/1493910604603883522	I couldn't watch it when the first one came out.	concession
"Xaviera ""Beto's Pretend Sister"" Barganski"	music	https://twitter.com/lukewarmdavid/status/1493910604603883522	I had to keep my head down in my boyfriend's lap at the drive-in so I wouldn't get scared.	concession
mistakes were made	music	https://twitter.com/lukewarmdavid/status/1493910604603883522	Never even heard of this person.	concession
Harry Singh	music	https://twitter.com/lukewarmdavid/status/1493910604603883522	You must be turned on af looking at that	insinuation
Vincent Soto	music	https://twitter.com/lukewarmdavid/status/1493910604603883522	finally someone said it	praise
diorslvt	music	https://twitter.com/lukewarmdavid/status/1493910604603883522	she’s so camp	dissent
lazypasty	music	https://twitter.com/lukewarmdavid/status/1493910604603883522	her video was disturbing and tone deaf	dissent
Mr Chau	entertainment	https://twitter.com/Srirachachau/status/1494009688521801728	Wait why are podcasts the new music, they don’t serve the same function at all	dissent
Mr Chau	entertainment	https://twitter.com/Srirachachau/status/1494009688521801728	Replacing movies with books is classic nerd shit	lecture
Mr Chau	entertainment	https://twitter.com/Srirachachau/status/1494009688521801728	a movie for your mind or whatever,	dissent
Mr Chau	entertainment	https://twitter.com/Srirachachau/status/1494009688521801728	but you aren’t getting the same thing outta music through podcasts	dissent
